ID    Average

16967 94.22

31353 68.19

11121 60.50

23990 61.13

13374 67.02

04797 81.70

02828 64.63

29454 90.95

20099 65.37

21667 89.49

22402 56.18

17280 71.29

24408 61.46

31116 56.56

22072 71.37

02207 88.78

32231 52.02

27356 72.85

07352 73.98

27969 60.88

23738 60.20

10364 53.52

11056 51.19

31744 54.71

11329 97.68

16217 93.23

05873 53.51

07612 71.33

03408 93.16

20451 75.15

17649 94.82

10264 68.83

05022 97.02

09359 74.09

13386 90.36

31736 73.15

22599 53.40

22613 59.07

22714 50.27

13321 83.08

07243 64.44

03378 89.04

01313 60.16

25401 96.09

31501 77.32

12968 52.79

26117 62.90

25403 84.50

11477 75.07

23609 80.49

03089 59.48

13060 80.90

22862 57.10

10223 70.82

01681 50.34

25937 58.55

31240 78.04

13528 62.20

03576 74.47

07967 81.81

19703 60.18

10626 69.48

15963 98.74

09777 57.71

22258 70.48

19075 76.35

25076 61.16

32653 68.28

30261 53.30

08436 76.30

19359 81.48

07679 64.80

01248 94.72

12528 63.02

16736 69.39

08341 88.24

02934 71.10

16410 92.57

30427 94.73

08481 83.90

00863 73.01

11284 50.32

06106 83.82

04794 76.03

10598 96.41

20745 72.71

25291 98.41

12348 59.02

24635 87.77

00037 51.52

21312 87.17

31427 76.36

08946 67.21

01559 54.48

23661 84.87

18484 82.02

01922 77.87

16790 61.44

13229 73.53

25012 85.33
